id,realm,material_type,author_inified,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
5,RU,Book,Lydia Chukovskaya,Opustelyi dom,,Russian,,,,,Yuri Annenkov,Paris,Librairie des Cinq Continents,1965
6,RU,Book,Anna Akhmatova,Requiem,,Russian,,,,,,Munich,Tovarishchestvo zarubezhnykh pisatelei,1963
7,RU,Book,Varlam Shalamov,Kolymskie rasskazy Kolyma Tales,,Russian,,Foreword by: Mikhail Geller,,,,London,Overseas Publications Interchange,1978
8,RU,Book,Vasily Grossman,Zhizn i sudba,,Russian,,Preface by: Efim Etkind,,,,Lausanne,L'Age d'Homme,1980
9,RU,Book,Venedikt Yerofeyev,Moskva - Petushki,,Russian,,,,,,Paris,YMCA-Press,1977
10,RU,Book,Varlam Shalamov,Voskreshenie listvennitsy Resurrection of the Larch,,Russian,,Foreword by: Mikhail Geller,,,,Paris,YMCA-Press,1985
11,RU,Book,Alexander Galich,Pesni,,Russian,,,,,,Frankfurt am Main,Possev,1969
12,RU,Book,Lydia Chukovskaya,Spusk pod vodu,,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1972
13,RU,Book,Joseph Brodsky,Stikhotvoreniia i poemy,,Russian,,Foreword by: Georgy Stukov; Gleb Struve,,,,Washington D.C.,Inter-Language Literary Associates,1965
14,RU,Book,Joseph Brodsky,Ostanovka v pustyne,,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1970
15,RU,Book,Aleksandr Solzhenitsyn,Rakovyi korpus (Cancer Ward),,Russian,,,,,Yuri Annenkov,Paris,YMCA-Press,1968
16,RU,Book,Andrei Sinyavsky,Fantasticheskii mir Abrama Tertsa,,Russian,,Introduction by: Boris Filippov,,,Nikolai Safonov,Washington D.C.,Inter-Language Literary Associates,1967
17,RU,Book,Natalya Gorbanevskaya,Stikhi,,Russian,,,,,,Frankfurt am Main,Possev,1969
18,RU,Book,Vasily Grossman,Vse techet,,Russian,,,,,Nikolai Nikolenko,Frankfurt am Main,Posev,1970
20,RU,Book,Lydia Chukovskaya,Otkrytoe slovo,,Russian,,,,,,New York,Khronika,1976
21,RU,Book,Lydia Chukovskaya,Po etu storonu smerti (iz dnevnika 1936-1976),,Russian,,,,,,Paris,YMCA-Press,1978
22,RU,Book,Lydia Chukovskaya,Protsess iskliucheniia (ocherk literaturnykh nravov),,Russian,,,,,Arcady,Paris,YMCA-Press,1979
23,RU,Book,Lydia Chukovskaya,"Notes on Anna Akhmatova, Vol, 1, 1938-1941",,Russian,,,,,,Paris,YMCA-Press,1976
24,RU,Book,Lydia Chukovskaya,"Notes on Anna Akhmatova, Vol, 2, 1952-1962",,Russian,,,,,,Paris,YMCA-Press,1980
25,RU,Book,Alexander Galich,General'naia repetitsiia,,Russian,,,,,,Frankfurt am Main,Possev,1974
26,RU,Book,Alexander Galich,Pokolenie obrechennykh,,Russian,,,,,,Frankfurt am Main,Possev,1974
27,RU,Book,Yevgenia Ginzburg,Krutoi marshrut,,Russian,,,,,,Milan,Mondadori,1967
28,RU,Book,Yevgenia Ginzburg,"Krutoi marshrut, Vol. 2",,Russian,,,,,,Milan,Mondadori,1979
29,RU,Book,Natalya Gorbanevskaya,Polden,,Russian,,,,,,Frankfurt am Main,Possev,1970
30,RU,Book,Natalya Gorbanevskaya,Poberezhe. Stikhi,,Russian,,,,,,Ann Arbor,Ardis,1973
31,RU,Book,Yuli Daniel,Govorit Moskva. Povest i rasskazy,,Russian,,Introduction and afterword by: Boris Filippov,,,Nikolai Safonov,Washington D.C.,Inter-Language Literary Associates,1966
32,RU,Book,Yuli Daniel,Iskuplenie,,Russian,,Introduction by: Boris Filippov,,,,Washington D.C.,Inter-Language Literary Associates,1964
33,RU,Book,Yuli Daniel,Ruki. Chelovek iz MINAPa,,Russian,,Introduction by: Boris Filippov,,,,Washington D.C.,Boris Filippov,1963
34,RU,Book,Yuli Daniel,Govorit Moskva,,Russian,,Introduction by: Boris Filippov,,,,Washington D.C.,Boris Filippov,1962
35,RU,Book,,Sinyavsky i Daniel' na skam'e podsudimykh,,Russian,,Introduction by: Helene Zamoyska; Boris Filippov,,,,New York,Inter-Language Literary Associates,1966
36,RU,Book,Sergei Dovlatov,Nevidimaia kniga,,Russian,,,,,,Ann Arbor,Ardis,1978
37,RU,Book,Alexander Esenin-Volpin,A Leaf of Spring,,Russian; English,George Reavey,,,,,New York,Praeger,1961
