id,realm,material_type,author_inified,country_of_birth_original,country_of_birth_modern,sex or gender,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
5,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,Opustelyi dom,,Russian,,,,,Yuri Annenkov,Paris,Librairie des Cinq Continents,1965
6,RU,Book,Anna Akhmatova,Russian Empire,Ukraine,female,Requiem,,Russian,,,,,,Munich,Tovarishchestvo zarubezhnykh pisatelei,1963
7,RU,Book,Varlam Shalamov,Russian Empire,Russia,male,Kolymskie rasskazy Kolyma Tales,,Russian,,Foreword by: Mikhail Geller,,,,London,Overseas Publications Interchange,1978
8,RU,Book,Vasily Grossman,Russian Empire,Ukraine,male,Zhizn i sudba,,Russian,,Preface by: Efim Etkind,,,,Lausanne,L'Age d'Homme,1980
9,RU,Book,Venedikt Yerofeyev,Soviet Union,Russia,male,Moskva - Petushki,,Russian,,,,,,Paris,YMCA-Press,1977
10,RU,Book,Varlam Shalamov,Russian Empire,Russia,male,Voskreshenie listvennitsy Resurrection of the Larch,,Russian,,Foreword by: Mikhail Geller,,,,Paris,YMCA-Press,1985
11,RU,Book,Alexander Galich,Soviet Union,Ukraine,male,Pesni,,Russian,,,,,,Frankfurt am Main,Possev,1969
12,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,Spusk pod vodu,,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1972
13,RU,Book,Joseph Brodsky,Soviet Union,Russia,male,Stikhotvoreniia i poemy,,Russian,,Foreword by: Georgy Stukov; Gleb Struve,,,,Washington D.C.,Inter-Language Literary Associates,1965
14,RU,Book,Joseph Brodsky,Soviet Union,Russia,male,Ostanovka v pustyne,,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1970
15,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,Rakovyi korpus (Cancer Ward),,Russian,,,,,Yuri Annenkov,Paris,YMCA-Press,1968
16,RU,Book,Andrei Sinyavsky,Russia,Russia,male,Fantasticheskii mir Abrama Tertsa,,Russian,,Introduction by: Boris Filippov,,,Nikolai Safonov,Washington D.C.,Inter-Language Literary Associates,1967
17,RU,Book,Natalya Gorbanevskaya,Soviet Union,Russia,female,Stikhi,,Russian,,,,,,Frankfurt am Main,Possev,1969
18,RU,Book,Vasily Grossman,Russian Empire,Ukraine,male,Vse techet,,Russian,,,,,Nikolai Nikolenko,Frankfurt am Main,Posev,1970
20,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,Otkrytoe slovo,,Russian,,,,,,New York,Khronika,1976
21,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,Po etu storonu smerti (iz dnevnika 1936-1976),,Russian,,,,,,Paris,YMCA-Press,1978
22,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,Protsess iskliucheniia (ocherk literaturnykh nravov),,Russian,,,,,Arcady,Paris,YMCA-Press,1979
23,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,"Notes on Anna Akhmatova, Vol, 1, 1938-1941",,Russian,,,,,,Paris,YMCA-Press,1976
24,RU,Book,Lydia Chukovskaya,Russian Empire,Russia,female,"Notes on Anna Akhmatova, Vol, 2, 1952-1962",,Russian,,,,,,Paris,YMCA-Press,1980
25,RU,Book,Alexander Galich,Soviet Union,Ukraine,male,General'naia repetitsiia,,Russian,,,,,,Frankfurt am Main,Possev,1974
